SentID,Npred,NpredID,Vsup,VsupID,N0Role,N0ID,N0String,N1Role,N1ID,N1String,N2Role,N2ID,N2String
1,governo,4,em,2,agent-gen,1, PT,object-gen, -, -,-, -, -
2,postura,12,-, ,experiencer-gen, -, - ,-, -, -,-, -, -
3,sentido,2,ter,1,object-gen, , ,-, -, -,-, -, -
3,sentido,2,-,1,object-gen, , ,-, -, -,-, -, -
4,solidez,12,-, -,object-gen, 13 14 15, de o PT,-, -, -,-, -, -
5,discurso,9,-, ,agent-speaker, -, - ,addressee, -, -,topic, -, -
7,prioridade,4,-, ,experiencer-gen, 5 6 7 8, de o novo governo ,object-f, -, -,-, -, -
7,prioridade,4,-, ,experiencer-gen, 13 14 15, de o PT,object-f, -, -,-, -, -
11,realização,13,-, ,agent-creator, -, - ,object-gen, 14 15 16 17, de mais 30 episódios ,-, -, -
13,nome,6,-, ,object-gen, 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22," de o novo programa jornalístico , que estréia quarta-feira a as 22h30 , em a Rede_Manchete ",-, -, -,-, -, -
14,comando,3,sob,1,agent-gen,4 5, de Ronaldo=Rosas,object-gen, 7 8, o programa ,-, -, -
14,reportagem,10,-, ,agent-speaker, 12 13, de Sônia_Pompeu ,topic, -, -,-, -, -
15,direção,2,assinar,8,agent-gen, 9 10, por Ewaldo_Ruy ,object-gen, 3 4 6, de o semanal ,-, -, -
19,folga,19,-, ,object-gen, 1 2 3 4 5 6 7 8 9 10 11 12," O atacante , que deveria ter se apresentado anteontem a a noite ",-, -, -,-, -, -
20,volta,3,-, ,agent-gen, 4 6 7 8 9, de viagem a o exterior ,locative-source, -, -,-, -, -
20,viagem,6,-, ,agent-gen, -, - ,locative-dest, 7 8 9, a o exterior ,-, -, -
23,revenda,7,-, -,agent-giver, -, -,object-gen, -, -,, -, -
24,equilíbrio,2,-, ,object-gen, -, - ,-, -, -,-, -, -
24,sucesso,10,-, ,object-gen, 11 12 13 14, de o plano econômico ,-, -, -,-, -, -
24,plano,13,-, ,experiencer-gen, -, - ,object-f, -, -,-, -, -
25,formação,7,-, ,agent-creator, -, - ,object-gen, 8 9 10, de o FSE ,-, -, -
26,pronunciamento,16,fazer,14,agent-speaker,5 6 7 8 9," o então ministro de a Fazenda , Fernando_Henrique_Cardoso ",addressee, -, -,message, -, -
26,intenção,23,-, ,experiencer-gen, 24 25 26, de o governo ,object-f, 27 28 29 30 31 32 33, de destinar o FSE a investimentos sociais ,-, -, -
27,informação,29,ter,28,agent-speaker, -, - ,addressee,20, Rubens_Ricúpero ,message, -, -
28,projeto,2,-, ,experiencer-gen, 4 6, de governo ,object-f, -, -,-, -, -
29,acordo,4,-, ,agent-gen, 5 6 7 8,entre governo e tribunal ,object-f, -, -,co-agent, 5 6 7 8,entre governo e tribunal 
29,dotação,16,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
29,reserva,21,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
29,contingência,23,-, ,object-gen, -, - ,-, -, -,-, -, -
29,especificação,25,-, ,agent-gen, -, - ,object-gen, 26 27, de despesa ,-, -, -
29,despesa,27,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
30,ameaça,5,-, ,agent-speaker, 6 7 8, de o tribunal ,message, 9 10 11 12 13 14, de entrar com uma ação judicial ,-, -, -
30,alteração,23,-, ,agent-gen, -, - ,object-gen, 24 25 26, a o projeto ,-, -, -
30,dotação,34,-, ,object-gen, 35 36 37, de o TSE ,-, -, -,-, -, -
30,projeto,26,-, ,experiencer-gen, -, - ,object-f, -, -,-, -, -
31,disponibilidade,5,-, ,object-gen,6 7,de dinheiro,-, 6 7, de dinheiro ,-, -, -
31,recurso,20,-, ,object-gen, 21 22 23 24, para as pequenas instituições ,-, -, -,-, -, -
32,empréstimo,24,-, ,agent-giver, -, - ,object-gen, -, -,recipient, -, -
32,prazo,33,com,32,object-gen, 28 30 29 31, títulos e estaduais municipais ,-, -, -,-, -, -
35,escalação,4,-, ,agent-gen, -, - ,object-gen,3, sua ,-, -, -
37,escândalo,10,-, ,agent-gen, 11 12 13 14, de a arbitragem carioca ,-, -, -,-, -, -
39,podre,8,-, ,object-gen, -, - ,-, -, -,-, -, -
40,podre,17,-, ,object-gen, 1 2, O futebol ,-, -, -,-, -, -
40,exemplo,6,-, ,agent-gen, 7 8 9 10 11 12, de a CPI de o orçamento ,object-f, -, -,object-gen, -, -
41,balanço,8,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
43,liberação,20,-, ,agent-gen, -, - ,object-gen, 21 22 23, de o produto ,-, -, -
44,venda,21,-, ,agent-giver, -, - ,object-gen, -, -,, -, -
45,solução,17,-, ,agent-gen, -, - ,object-f, 20 21 22 23 24 25 26 27, de os problemas » existentes em o local ,-, -, -
45,minimização,19,-, ,agent-gen, -, - ,object-gen, 20 21 22 23 24 25 26 27, de os problemas » existentes em o local ,-, -, -
45,problema,22,-, ,object-gen, -, - ,object-f, -, -,-, -, -
47,tamanho,19,-, ,object-gen, 10 11, o Charade ,-, -, -,-, -, -
50,mudança,2,-, ,agent-gen, -, - ,object-gen, 3 4 6 7 18 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23," de o de jogo , que deve acontecer também em a partida contra o Corinthians em o próximo dia 17 ",-, -, -
50,partida,14,-, ,agent-gen, -, - ,co-agent, 15 16 17, contra o Corinthians ,-, -, -
50,garantia,33,-, ,object-gen, -, - ,object-f, 34 35, de segurança ,-, -, -
50,segurança,35,-, ,object-gen, -, - ,-, -, -,-, -, -
51,trajetória,16,-, ,object-gen,15, sua ,-, -, -,-, -, -
52,lançamento,10,fazer,8,agent-gen, , ,object-gen, -, -,-, -, -
55,aparência,20,com,19,object-gen,18, robô ,-,,  ,-, -, -
55,aparência,20,-,,object-gen,21, humana,-,,  ,, -, -
57,direito,8,-, ,object-gen, 4 6, a réus ,object-f, 9 10 11 12 13 14 15, de apelarem de a setença em liberdade ,-, -, -
59,batalha,2,-, -,agent-gen, -, -,co-agent, -, -,-, -, -
60,batalha,10,-, ,agent-gen, -, - ,co-agent, -, -,-, -, -
60,super-acordo,24,-, ,agent-gen, -, - ,object-f, -, -,co-agent, -, -
61,reinado,13,-, ,agent-gen, 14 15, de Havelange ,-, -, -,-, -, -
61,oposição,32,-, ,agent-gen,,,object-f, -, -,-, -, -
61,compromisso,40,-, ,agent-speaker, -, - ,message, -, -,co-agent, -, -
62,modo,20,-, ,agent-gen,19, seus ,-, -, -,-, -, -
63,estudo,12,-, ,agent-gen, -, - ,topic, -, -,-, -, -
64,abuso sexual,3 4,-,,agent-gen,,,patient,5 6,em bulímicas,-,,
65,divisão,2,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
65,distorção,5,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
66,evolução,23,-, ,object-gen,21, sua ,-, -, -,-, -, -
67,arte,12,-, ,agent-creator,,  ,-, -, -,-, -, -
68,autonomia,16,-, -,object-gen, -, -,-, -, -,-, -, -
69,prejuízo,4,sofrer,3,object-gen, 1 2, O panorama ,-, -, -,-, -, -
69,tese,8,-, ,experiencer-gen, -, - ,object-f, -, -,-, -, -
70,destaque,21,ter,16,object-gen, 1 2 3 4 5 6 7 8 9 10 11 12 13 14," Abstratos entre medianos e medíocres , como Fukushima , Pérsio , Raimo e Douchez ",-, -, -,-, -, -
70,destaque,21,-,16,object-gen,23,Volpi,-, -, -,-, -, -
70,autonomia,31,ter,16,object-gen, 1 2 3 4 5 6 7 8 9 10 11 12 13 14," Abstratos entre medianos e medíocres , como Fukushima , Pérsio , Raimo e Douchez",-, -, -,-, -, -
71,barulho,5,-, -,agent-gen, -, -,-, -, -,-, -, -
73,peculato,11,prática,9,agent-gen, -, - ,-, -, -,-, -, -
74,envolvimento,12,-, ,object-gen, 13 14, de Quércia ,object-f, -, -,-, -, -
75,denúncia,3,receber,1,agent-speaker, -, - ,addressee, , ,message, -, -
77,falta,9,-, ,agent-gen, -, - ,patient, -, -,-, -, -
77,pênalti,11,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
78,jogo,18,-, ,agent-gen, -, - ,co-agent, -, -,-, -, -
79,competência,8,ter,7,object-gen, 1 2 3 4 5 6, Nem o PSB nem a coligação ,object-f, 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29," para trocar o vice de a chapa sem a concordância de Bisol , que teve o nome aprovado em convenção ",-, -, -
79,concordância,19,sem,17,experiencer-gen, 20 21 22 23 24 25 26 27 28 29," de Bisol , que teve o nome aprovado em convenção ",object-f, 12 13 14 15 16, o vice de a chapa ,-, -, -
80,substituição,8,-, ,agent-gen, -, - ,object-gen, -, -,object-gen, -, -
81,registro,6,-, ,agent-gen, -, - ,object-gen, 7 8 9, de a candidatura ,-, -, -
81,candidatura,9,-, ,object-gen, -, - ,object-f, -, -,-, -, -
86,venda,4,-, ,agent-giver,,,object-gen, 5 6 7 8 9, de  quatro ingressos por pessoa ,,,
87,queda,2,-, ,object-gen, 3 4 5, em as vendas,-, -, -,-, -, -
87,venda,5,-, ,agent-giver, -, - ,object-gen, -, -,, -, -
87,reflexo,7,ter,6,cause, 1 2 3 4 5, A queda em as vendas,object-f, 8 9 10 11 14 12 13 15 16, em as negociações entre e as confecções as lojas ,-, -, -
87,negociação,10,-, ,agent-gen, 11 12 13 14 15 16, entre as confecções e as lojas ,object-f, -, -,co-agent,  11 12 13 14 15 16,entre as confecções e as lojas 
88,cancelamento,5,-, ,agent-gen, -, - ,object-f, 6 7, de pedidos ,-, -, -
88,pedido,7,-, ,agent-speaker, -, - ,addressee, -, -,message, -, -
